,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,CHATGPT SOLUTION SET( 5.6 SOL EXTRA HIGH),,,,Deepseek V4 Pro (Deep think),,,Gemini 3.1 Pro,,,,Claude sonnet 5 (low effort),,,
,e_022,CF022,GPT5.6 Sol (Extra High),AC,388179542,CF022,deepseek v4 pro(deep think),AC,388614082,CF022,Gemini 3.1 Pro,AC,388178365,CF022,Sonnet 5 (Low effort),AC,388982612
,e_023,CF023,GPT5.6 Sol (Extra High),AC,388179428,CF023,deepseek v4 pro(deep think),AC,388614186,CF023,Gemini 3.1 Pro,AC,388178519,CF023,Sonnet 5 (Low effort),AC,3889826345
,e_024,CF024,GPT5.6 Sol (Extra High),AC,388179364,CF024,deepseek v4 pro(deep think),AC,388614537,CF024,Gemini 3.1 Pro,AC,388178742,CF024,Sonnet 5 (Low effort),AC,391216931
,e_025,CF025,GPT5.6 Sol (Extra High),AC,388179238,CF025,deepseek v4 pro(deep think),AC,388614580,CF025,Gemini 3.1 Pro,AC,388178903,CF025,Sonnet 5 (Low effort),AC,388982623
,e_026,CF026,GPT5.6 Sol (Extra High),AC,388179127,CF026,deepseek v4 pro(deep think),AC,388614674,CF026,Gemini 3.1 Pro,AC,388179039,CF026,Sonnet 5 (Low effort),AC,3889826255
,e_027,CF027,GPT5.6 Sol (Extra High),AC,388179053,CF027,deepseek v4 pro(deep think),AC,388614768,CF027,Gemini 3.1 Pro,AC,388179243,CF027,Sonnet 5 (Low effort),AC,3889832434
,e_028,CF028,GPT5.6 Sol (Extra High),TLE,388178825,CF028,deepseek v4 pro(deep think),AC,388614867,CF028,Gemini 3.1 Pro,AC,388497104,CF028,Sonnet 5 (Low effort),AC,388984543
,e_029,CF029,GPT5.6 Sol (Extra High),AC,388178769,CF029,deepseek v4 pro(deep think),AC,388615124,CF029,Gemini 3.1 Pro,AC,388497364,CF029,Sonnet 5 (Low effort),AC,38898222727
,e_030,CF030,GPT5.6 Sol (Extra High),AC,388178702,CF030,deepseek v4 pro(deep think),AC,388615277,CF030,Gemini 3.1 Pro,AC,388497526,CF030,Sonnet 5 (Low effort),AC,38898267272
,e_031,CF031,GPT5.6 Sol (Extra High),AC,388178625,CF031,deepseek v4 pro(deep think),AC,388615551,CF031,Gemini 3.1 Pro,AC,388497796,CF031,Sonnet 5 (Low effort),AC,3889826333
,e_032,CF032,GPT5.6 Sol (Extra High),AC,388178227,CF032,deepseek v4 pro(deep think),AC,388615810,CF032,Gemini 3.1 Pro,AC,388498469,CF032,Sonnet 5 (Low effort),AC,38898260656
,e_033,CF033,GPT5.6 Sol (Extra High),AC,388178128,CF033,deepseek v4 pro(deep think),AC,388615922,CF033,Gemini 3.1 Pro,AC,388178128,CF033,Sonnet 5 (Low effort),AC,3889826443
,e_034,CF034,GPT5.6 Sol (Extra High),AC,388177976,CF034,deepseek v4 pro(deep think),AC,388616043,CF034,Gemini 3.1 Pro,AC,388177976,CF034,Sonnet 5 (Low effort),AC,38898243343
,e_035,CF035,GPT5.6 Sol (Extra High),AC,388177814,CF035,deepseek v4 pro(deep think),AC,388696253,CF035,Gemini 3.1 Pro,AC,388177814,CF035,Sonnet 5 (Low effort),AC,388982645325
,e_036,CF036,GPT5.6 Sol (Extra High),AC,388177633,CF036,deepseek v4 pro(deep think),AC,388709293,CF036,Gemini 3.1 Pro,AC,388177633,CF036,Sonnet 5 (Low effort),WA,3889825432
,e_037,CF037,GPT5.6 Sol (Extra High),AC,388177525,CF037,deepseek v4 pro(deep think),AC,388709726,CF037,Gemini 3.1 Pro,AC,388177525,CF037,Sonnet 5 (Low effort),AC,38898260028
,e_038,CF038,GPT5.6 Sol (Extra High),AC,388177360,CF038,deepseek v4 pro(deep think),AC,388709868,CF038,Gemini 3.1 Pro,AC,388498614,CF038,Sonnet 5 (Low effort),AC,388912324
,e_039,CF039,GPT5.6 Sol (Extra High),AC,388177271,CF039,deepseek v4 pro(deep think),AC,388710046,CF039,Gemini 3.1 Pro,WA,388498753,CF039,Sonnet 5 (Low effort),AC,3889822133
,e_040,CF040,GPT5.6 Sol (Extra High),AC,388177081,CF040,deepseek v4 pro(deep think),AC,388710112,CF040,Gemini 3.1 Pro,AC,388498891,CF040,Sonnet 5 (Low effort),AC,388982134532
,e_041,CF041,GPT5.6 Sol (Extra High),AC,388176876,CF041,deepseek v4 pro(deep think),AC,388711186,CF041,Gemini 3.1 Pro,AC,388499025,CF041,Sonnet 5 (Low effort),AC,388982212864
,e_042,CF042,GPT5.6 Sol (Extra High),AC,388176782,CF042,deepseek v4 pro(deep think),AC,388711705,CF042,Gemini 3.1 Pro,WA,388499137,CF042,Sonnet 5 (Low effort),WA,38898222475
,e_043,CF043,GPT5.6 Sol (Extra High),AC,388176689,CF043,deepseek v4 pro(deep think),AC,388712091,CF043,Gemini 3.1 Pro,AC,388499246,CF043,Sonnet 5 (Low effort),AC,38898221224
,e_044,CF044,GPT5.6 Sol (Extra High),AC,388176607,CF044,deepseek v4 pro(deep think),AC,388712388,CF044,Gemini 3.1 Pro,WA,388499472,CF044,Sonnet 5 (Low effort),AC,38898220980
,e_045,CF045,GPT5.6 Sol (Extra High),AC,388176316,CF045,deepseek v4 pro(deep think),AC,388712858,CF045,Gemini 3.1 Pro,AC,388176316,CF045,Sonnet 5 (Low effort),AC,388982210102
,e_046,CF046,GPT5.6 Sol (Extra High),AC,388176146,CF046,deepseek v4 pro(deep think),AC,388712936,CF046,Gemini 3.1 Pro,AC,388176146,CF046,Sonnet 5 (Low effort),AC,388982212233
,e_047,CF047,GPT5.6 Sol (Extra High),AC,388176010,CF047,deepseek v4 pro(deep think),AC,388713032,CF047,Gemini 3.1 Pro,AC,388176010,CF047,Sonnet 5 (Low effort),WA,38898228789
,e_048,CF048,GPT5.6 Sol (Extra High),AC,388175921,CF048,deepseek v4 pro(deep think),AC,388713227,CF048,Gemini 3.1 Pro,AC,388175921,CF048,Sonnet 5 (Low effort),AC,38898221275
,e_049,CF049,GPT5.6 Sol (Extra High),AC,388175758,CF049,deepseek v4 pro(deep think),AC,388713409,CF049,Gemini 3.1 Pro,AC,388175758,CF049,Sonnet 5 (Low effort),AC,3889822564
,e_050,CF050,GPT5.6 Sol (Extra High),AC,388175624,CF050,deepseek v4 pro(deep think),AC,388713689,CF050,Gemini 3.1 Pro,AC,388175624,CF050,Sonnet 5 (Low effort),AC,388982212756
,e_051,CF051,GPT5.6 Sol (Extra High),AC,388175495,CF051,deepseek v4 pro(deep think),AC,388713789,CF051,Gemini 3.1 Pro,WA,388500011,CF051,Sonnet 5 (Low effort),AC,38898221242
,e_052,CF052,GPT5.6 Sol (Extra High),AC,388174375,CF052,deepseek v4 pro(deep think),AC,388714047,CF052,Gemini 3.1 Pro,WA,388500011,CF052,Sonnet 5 (Low effort),AC,3889822332
,e_053,CF053,GPT5.6 Sol (Extra High),AC,388174057,CF053,deepseek v4 pro(deep think),WA,388714147,CF053,Gemini 3.1 Pro,AC,388174057,CF053,Sonnet 5 (Low effort),AC,3889822232
,e_054,CF054,GPT5.6 Sol (Extra High),AC,388173967,CF054,deepseek v4 pro(deep think),AC,388714255,CF054,Gemini 3.1 Pro,AC,388173967,CF054,Sonnet 5 (Low effort),WA,38898221343
,e_055,CF055,GPT5.6 Sol (Extra High),AC,388173683,CF055,deepseek v4 pro(deep think),AC,388714413,CF055,Gemini 3.1 Pro,AC,388173683,CF055,Sonnet 5 (Low effort),AC,38898221453
,e_056,CF056,GPT5.6 Sol (Extra High),AC,388173646,CF056,deepseek v4 pro(deep think),AC,388714827,CF056,Gemini 3.1 Pro,AC,388173646,CF056,Sonnet 5 (Low effort),AC,38898229384
,e_057,CF057,GPT5.6 Sol (Extra High),AC,388173465,CF057,deepseek v4 pro(deep think),AC,388715063,CF057,Gemini 3.1 Pro,AC,388173465,CF057,Sonnet 5 (Low effort),AC,38898220498
,e_058,CF058,GPT5.6 Sol (Extra High),AC,388173048,CF058,deepseek v4 pro(deep think),AC,388715271,CF058,Gemini 3.1 Pro,AC,388506388,CF058,Sonnet 5 (Low effort),AC,38898221348
,e_059,CF059,GPT5.6 Sol (Extra High),AC,388172737,CF059,deepseek v4 pro(deep think),AC,388715352,CF059,Gemini 3.1 Pro,AC,388506454,CF059,Sonnet 5 (Low effort),WA,388982214343
,e_060,CF060,GPT5.6 Sol (Extra High),AC,388172548,CF060,deepseek v4 pro(deep think),AC,388715930,CF060,Gemini 3.1 Pro,AC,388506518,CF060,Sonnet 5 (Low effort),AC,388982211253
,e_061,CF061,GPT5.6 Sol (Extra High),AC,388172323,CF061,deepseek v4 pro(deep think),AC,388716121,CF061,Gemini 3.1 Pro,TLE,388506664,CF061,Sonnet 5 (Low effort),AC,388982217465
,e_062,CF062,GPT5.6 Sol (Extra High),AC,388172127,CF062,deepseek v4 pro(deep think),AC,388716558,CF062,Gemini 3.1 Pro,TLE,388506745,CF062,Sonnet 5 (Low effort),AC,388982234634
,e_063,CF063,GPT5.6 Sol (Extra High),AC,388172019,CF063,deepseek v4 pro(deep think),AC,388716668,CF063,Gemini 3.1 Pro,AC,388506859,CF063,Sonnet 5 (Low effort),AC,3889822104850
,e_064,CF064,GPT5.6 Sol (Extra High),AC,388171873,CF064,deepseek v4 pro(deep think),AC,388724073,CF064,Gemini 3.1 Pro,AC,388507167,CF064,Sonnet 5 (Low effort),AC,3889822140298
,e_065,CF065,GPT5.6 Sol (Extra High),AC,388171773,CF065,deepseek v4 pro(deep think),AC,388724117,CF065,Gemini 3.1 Pro,AC,388507334,CF065,Sonnet 5 (Low effort),WA,388982210094
,e_066,CF066,GPT5.6 Sol (Extra High),AC,388171656,CF066,deepseek v4 pro(deep think),AC,388724247,CF066,Gemini 3.1 Pro,AC,388507660,CF066,Sonnet 5 (Low effort),AC,388982213384
,e_067,CF067,GPT5.6 Sol (Extra High),AC,388171483,CF067,deepseek v4 pro(deep think),AC,388724808,CF067,Gemini 3.1 Pro,AC,388507848,CF067,Sonnet 5 (Low effort),WA,38898224240
,e_068,CF068,GPT5.6 Sol (Extra High),AC,388171328,CF068,deepseek v4 pro(deep think),WA,388724960,CF068,Gemini 3.1 Pro,WA,388507947,CF068,Sonnet 5 (Low effort),AC,38898221020
,e_069,CF069,GPT5.6 Sol (Extra High),AC,388171114,CF069,deepseek v4 pro(deep think),AC,388874613,CF069,Gemini 3.1 Pro,TLE,388509066,CF069,Sonnet 5 (Low effort),WA,388982210092
,e_070,CF070,GPT5.6 Sol (Extra High),AC,388170728,CF070,deepseek v4 pro(deep think),AC,388874666,CF070,Gemini 3.1 Pro,AC,388509182,CF070,Sonnet 5 (Low effort),AC,38898221092
,e_071,CF071,GPT5.6 Sol (Extra High),AC,388170540,CF071,deepseek v4 pro(deep think),AC,388874828,CF071,Gemini 3.1 Pro,AC,388509280,CF071,Sonnet 5 (Low effort),AC,38898221329
,e_072,CF072,GPT5.6 Sol (Extra High),AC,388170214,CF072,deepseek v4 pro(deep think),AC,388879809,CF072,Gemini 3.1 Pro,WA,388509461,CF072,Sonnet 5 (Low effort),AC,388982212193
,e_073,CF073,GPT5.6 Sol (Extra High),AC,388169981,CF073,deepseek v4 pro(deep think),AC,388880099,CF073,Gemini 3.1 Pro,AC,388509634,CF073,Sonnet 5 (Low effort),AC,3889822113243
,e_074,CF074,GPT5.6 Sol (Extra High),AC,388169791,CF074,deepseek v4 pro(deep think),AC,388880268,CF074,Gemini 3.1 Pro,AC,388509719,CF074,Sonnet 5 (Low effort),WA,388982212384
,e_075,CF075,GPT5.6 Sol (Extra High),AC,388169617,CF075,deepseek v4 pro(deep think),AC,388880898,CF075,Gemini 3.1 Pro,AC,388559311,CF075,Sonnet 5 (Low effort),AC,3889822124029
,e_076,CF076,GPT5.6 Sol (Extra High),AC,388168947,CF076,deepseek v4 pro(deep think),WA,388881282,CF076,Gemini 3.1 Pro,AC,388559674,CF076,Sonnet 5 (Low effort),AC,388982213947
,e_077,CF077,GPT5.6 Sol (Extra High),AC,388168745,CF077,deepseek v4 pro(deep think),AC,388881551,CF077,Gemini 3.1 Pro,AC,388559863,CF077,Sonnet 5 (Low effort),AC,38898228273
,e_078,CF078,GPT5.6 Sol (Extra High),AC,388168560,CF078,deepseek v4 pro(deep think),TLE,388881740,CF078,Gemini 3.1 Pro,AC,388559863,CF078,Sonnet 5 (Low effort),WA,388982228374
,e_079,CF079,GPT5.6 Sol (Extra High),AC,388160475,CF079,deepseek v4 pro(deep think),AC,388729746,CF079,Gemini 3.1 Pro,AC,388560177,CF079,Sonnet 5 (Low effort),AC,38898229384
,e_080,CF080,GPT5.6 Sol (Extra High),AC,388160272,CF080,deepseek v4 pro(deep think),AC,388729085,CF080,Gemini 3.1 Pro,AC,388560373,CF080,Sonnet 5 (Low effort),WA,3889822194857
,e_081,CF081,GPT5.6 Sol (Extra High),AC,388159919,CF081,deepseek v4 pro(deep think),AC,388728873,CF081,Gemini 3.1 Pro,AC,388560909,CF081,Sonnet 5 (Low effort),WA,3889822103297
,e_082,CF082,GPT5.6 Sol (Extra High),AC,388159369,CF082,deepseek v4 pro(deep think),AC,388728126,CF082,Gemini 3.1 Pro,AC,388561644,CF082,Sonnet 5 (Low effort),AC,388728126
,e_083,CF083,GPT5.6 Sol (Extra High),AC,388159112,CF083,deepseek v4 pro(deep think),AC,388728126,CF083,Gemini 3.1 Pro,AC,388562401,CF083,Sonnet 5 (Low effort),AC,388728126
,e_084,CF084,GPT5.6 Sol (Extra High),AC,388158922,CF084,deepseek v4 pro(deep think),WA,388727845,CF084,Gemini 3.1 Pro,AC,388562709,CF084,Sonnet 5 (Low effort),WA,388727845
,e_085,CF085,GPT5.6 Sol (Extra High),AC,388158665,CF085,deepseek v4 pro(deep think),AC,388728873,CF085,Gemini 3.1 Pro,AC,388563060,CF085,Sonnet 5 (Low effort),AC,389013859
,e_086,CF086,GPT5.6 Sol (Extra High),AC,388158501,CF086,deepseek v4 pro(deep think),WA,388709007,CF086,Gemini 3.1 Pro,AC,388974495,CF086,Sonnet 5 (Low effort),WA,388709007
,e_087,CF087,GPT5.6 Sol (Extra High),AC,388158162,CF087,deepseek v4 pro(deep think),AC,388708426,CF087,Gemini 3.1 Pro,AC,388974478,CF087,Sonnet 5 (Low effort),TLE,391111654
,e_088,CF088,GPT5.6 Sol (Extra High),AC,388157874,CF088,deepseek v4 pro(deep think),AC,388707371,CF088,Gemini 3.1 Pro,AC,388974456,CF088,Sonnet 5 (Low effort),AC,391115717
,e_089,CF089,GPT5.6 Sol (Extra High),AC,388157668,CF089,deepseek v4 pro(deep think),AC,388704655,CF089,Gemini 3.1 Pro,WA,388974470,CF089,Sonnet 5 (Low effort),AC,391115842
,e_090,CF090,GPT5.6 Sol (Extra High),AC,388157357,CF090,deepseek v4 pro(deep think),AC,388705204,CF090,Gemini 3.1 Pro,CE,388974123,CF090,Sonnet 5 (Low effort),AC,391115968
,e_091,CF091,GPT5.6 Sol (Extra High),AC,388157144,CF091,deepseek v4 pro(deep think),AC,388704655,CF091,Gemini 3.1 Pro,AC,388974453,CF091,Sonnet 5 (Low effort),TLE,391116164
,e_092,CF092,GPT5.6 Sol (Extra High),AC,388156878,CF092,deepseek v4 pro(deep think),AC,388703786,CF092,Gemini 3.1 Pro,AC,388974987,CF092,Sonnet 5 (Low effort),AC,391116401
,e_093,CF093,GPT5.6 Sol (Extra High),RE,388156392,CF093,deepseek v4 pro(deep think),AC,388703004,CF093,Gemini 3.1 Pro,TLE,388974234,CF093,Sonnet 5 (Low effort),AC,391116485
,e_094,CF094,GPT5.6 Sol (Extra High),AC,388155418,CF094,deepseek v4 pro(deep think),AC,388702480,CF094,Gemini 3.1 Pro,WA,388974457,CF094,Sonnet 5 (Low effort),AC,391116530
,e_095,CF095,GPT5.6 Sol (Extra High),AC,388155263,CF095,deepseek v4 pro(deep think),AC,388701784,CF095,Gemini 3.1 Pro,AC,3889744657,CF095,Sonnet 5 (Low effort),AC,391117021
,e_096,CF096,GPT5.6 Sol (Extra High),AC,388090506,CF096,deepseek v4 pro(deep think),AC,388700434,CF096,Gemini 3.1 Pro,AC,388974987,CF096,Sonnet 5 (Low effort),TLE,391117561
,e_097,CF097,GPT5.6 Sol (Extra High),AC,388084954,CF097,deepseek v4 pro(deep think),AC,388699659,CF097,Gemini 3.1 Pro,CE,388974283,CF097,Sonnet 5 (Low effort),AC,391117920
,e_098,CF098,GPT5.6 Sol (Extra High),AC,388081403,CF098,deepseek v4 pro(deep think),WA,388698790,CF098,Gemini 3.1 Pro,AC,388974777,CF098,Sonnet 5 (Low effort),WA,388698790
,e_099,CF099,GPT5.6 Sol (Extra High),AC,388080507,CF099,deepseek v4 pro(deep think),AC,388696669,CF099,Gemini 3.1 Pro,WA,388974192,CF099,Sonnet 5 (Low effort),AC,388692938
,e_100,CF100,GPT5.6 Sol (Extra High),AC,388077761,CF100,deepseek v4 pro(deep think),WA,388695795,CF100,Gemini 3.1 Pro,WA,388974555,CF100,Sonnet 5 (Low effort),WA,3886982838
,e_101,CF101,GPT5.6 Sol (Extra High),AC,388504807,CF101,deepseek v4 pro(deep think),WA,388882473,CF101,Gemini 3.1 Pro,WA,388974222,CF101,Sonnet 5 (Low effort),WA,38869872836
,e_102,CF102,GPT5.6 Sol (Extra High),AC,388505098,CF102,deepseek v4 pro(deep think),AC,388941448,CF102,Gemini 3.1 Pro,AC,388974871,CF102,Sonnet 5 (Low effort),AC,38869872736
,e_103,CF103,GPT5.6 Sol (Extra High),AC,388516392,CF103,deepseek v4 pro(deep think),AC,388942092,CF103,Gemini 3.1 Pro,WA,388974010,CF103,Sonnet 5 (Low effort),AC,38869828376
,e_104,CF104,GPT5.6 Sol (Extra High),AC,388516542,CF104,deepseek v4 pro(deep think),WA,388943301,CF104,Gemini 3.1 Pro,WA,388974173,CF104,Sonnet 5 (Low effort),WA,3886982836
,e_105,CF105,GPT5.6 Sol (Extra High),AC,388516629,CF105,deepseek v4 pro(deep think),AC,388943725,CF105,Gemini 3.1 Pro,AC,388974980,CF105,Sonnet 5 (Low effort),AC,38869829837
,e_106,CF106,GPT5.6 Sol (Extra High),AC,388516742,CF106,deepseek v4 pro(deep think),WA,388944418,CF106,Gemini 3.1 Pro,WA,388974271,CF106,Sonnet 5 (Low effort),WA,388698728372
,e_107,CF107,GPT5.6 Sol (Extra High),AC,388516898,CF107,deepseek v4 pro(deep think),AC,388945190,CF107,Gemini 3.1 Pro,WA,388974333,CF107,Sonnet 5 (Low effort),WA,388698293873
,e_108,CF108,GPT5.6 Sol (Extra High),AC,388516960,CF108,deepseek v4 pro(deep think),AC,388945334,CF108,Gemini 3.1 Pro,AC,388974812,CF108,Sonnet 5 (Low effort),AC,38869829372
,e_109,CF109,GPT5.6 Sol (Extra High),AC,388517073,CF109,deepseek v4 pro(deep think),AC,388946110,CF109,Gemini 3.1 Pro,AC,388974917,CF109,Sonnet 5 (Low effort),AC,38869829377
,e_110,CF110,GPT5.6 Sol (Extra High),AC,388517282,CF110,deepseek v4 pro(deep think),WA,388946739,CF110,Gemini 3.1 Pro,WA,388974231,CF110,Sonnet 5 (Low effort),WA,38869829382
,e_111,CF111,GPT5.6 Sol (Extra High),AC,388517589,CF111,deepseek v4 pro(deep think),WA,388947204,CF111,Gemini 3.1 Pro,WA,388974092,CF111,Sonnet 5 (Low effort),AC,38869828372
,e_112,CF112,GPT5.6 Sol (Extra High),AC,388532266,CF112,deepseek v4 pro(deep think),WA,388947873,CF112,Gemini 3.1 Pro,WA,388974830,CF112,Sonnet 5 (Low effort),WA,3886987837
,e_113,CF113,GPT5.6 Sol (Extra High),AC,388532456,CF113,deepseek v4 pro(deep think),CE,388962091,CF113,Gemini 3.1 Pro,WA,388974720,CF113,Sonnet 5 (Low effort),CE,3886987029321
,e_114,CF114,GPT5.6 Sol (Extra High),AC,388533057,CF114,deepseek v4 pro(deep think),WA,388962550,CF114,Gemini 3.1 Pro,WA,388974329,CF114,Sonnet 5 (Low effort),WA,38869800992
,e_115,CF115,GPT5.6 Sol (Extra High),AC,388533305,CF115,deepseek v4 pro(deep think),WA,388963285,CF115,Gemini 3.1 Pro,WA,3889744192,CF115,Sonnet 5 (Low effort),WA,38869821039
,e_116,CF116,GPT5.6 Sol (Extra High),AC,388533508,CF116,deepseek v4 pro(deep think),WA,388964428,CF116,Gemini 3.1 Pro,WA,388971827,CF116,Sonnet 5 (Low effort),WA,38869820281
,e_117,CF117,GPT5.6 Sol (Extra High),AC,388533964,CF117,deepseek v4 pro(deep think),AC,388964885,CF117,Gemini 3.1 Pro,WA,388972563,CF117,Sonnet 5 (Low effort),AC,38869203827
,e_118,CF118,GPT5.6 Sol (Extra High),AC,388534325,CF118,deepseek v4 pro(deep think),WA,388943332,CF118,Gemini 3.1 Pro,WA,388971273,CF118,Sonnet 5 (Low effort),WA,3886940387
,e_119,CF119,GPT5.6 Sol (Extra High),TLE,388534712,CF119,deepseek v4 pro(deep think),WA,388942948,CF119,Gemini 3.1 Pro,AC,388979434,CF119,Sonnet 5 (Low effort),WA,388698028472
,e_120,CF120,GPT5.6 Sol (Extra High),AC,388535126,CF120,deepseek v4 pro(deep think),WA,388942546,CF120,Gemini 3.1 Pro,WA,388974847,CF120,Sonnet 5 (Low effort),WA,3886920292
,e_121,P-001,GPT5.6 Sol (Extra High),AC,388253363,P-001,deepseek v4 pro(deep think),AC,388965224,P-001,Gemini 3.1 Pro,AC,388098530,P-001,Sonnet 5 (Low effort),AC,389008728
,e_122,P-002,GPT5.6 Sol (Extra High),ME,388253802,P-002,deepseek v4 pro(deep think),WA,388965406,P-002,Gemini 3.1 Pro,AC,388099406,P-002,Sonnet 5 (Low effort),WA,389009320
,e_123,P-003,GPT5.6 Sol (Extra High),AC,388253946,P-003,deepseek v4 pro(deep think),AC,388965451,P-003,Gemini 3.1 Pro,AC,388099860,P-003,Sonnet 5 (Low effort),CE,389008953
,e_124,P-004,GPT5.6 Sol (Extra High),AC,388254290,P-004,deepseek v4 pro(deep think),AC,388965512,P-004,Gemini 3.1 Pro,WA,388100502,P-004,Sonnet 5 (Low effort),CE,389009289
,e_125,P-005,GPT5.6 Sol (Extra High),AC,388254719,P-005,deepseek v4 pro(deep think),WA,388965848,P-005,Gemini 3.1 Pro,WA,388100851,P-005,Sonnet 5 (Low effort),WA,389009711
,e_126,P-006,GPT5.6 Sol (Extra High),AC,388254776,P-006,deepseek v4 pro(deep think),AC,388965945,P-006,Gemini 3.1 Pro,AC,388101874,P-006,Sonnet 5 (Low effort),WA,389009713
,e_127,P-007,GPT5.6 Sol (Extra High),AC,388255313,P-007,deepseek v4 pro(deep think),AC,388966943,P-007,Gemini 3.1 Pro,WA,388102311,P-007,Sonnet 5 (Low effort),CE,389009715
