problem_id,problem_name,source,algorithmic_features,Required Complexity,problem_url
P-091,Find the Strongest Card,The 2026 ICPC Asia Japan Online First Round,"ad hoc, math",O(1),
P-092,Vending Machines,The 2026 ICPC Asia Japan Online First Round,greedy,O(N2),
P-093,Water Remaining,The 2026 ICPC Asia Japan Online First Round,implementation,O(N2),
P-094,Frequency Sequence,The 2026 ICPC Asia Japan Online First Round,"math, binary search",O(LOG(N)),
P-095,Shopping Master,The 2026 ICPC Asia Japan Online First Round,"greedy, sorting",O(N2),
P-096,Optimizing a Map Application,The 2026 ICPC Asia Japan Online First Round,"graph, shortest path",O(N2),
P-097,Avoid Collision,The 2026 ICPC Asia Japan Online First Round,"dp, combinatorics",O(N2),
P-098,Sorting Swim Rings,The 2026 ICPC Asia Japan Online First Round,dp,O(N(SQRT(N))),
P-099,Speed Limit,The 2026 ICPC Asia Japan Online First Round,"greedy, binary search, data structure",O(NLOG(N)),
P-100,Maximum Scaling,The 2026 ICPC Asia Japan Online First Round,"geometry, binary search",O(N2),
