problem_id,problem_name,source,problem_url,rating,algorithmic_features,required_complexity
CF071,Array Replacement,Codeforces,https://codeforces.com/problemset/problem/2252/D,1700,"greedy, sorting",O(nlog(n))
CF072,Permutation Cuts,Codeforces,https://codeforces.com/problemset/problem/2249/B,1700,"combinatorics, implementation, math",O(n)
CF073,Medical Parity,Codeforces,https://codeforces.com/problemset/problem/2181/M,1700,"dp, string",O(n)
CF074,Fix Flooded Floor,Codeforces,https://codeforces.com/problemset/problem/2052/F,1700,"dp, graph",O(n)
CF075,Shohag Loves GCD,Codeforces,https://codeforces.com/problemset/problem/2039/D,1700,"greedy, math, number theory",O(nlog(n))
CF076,Hypercarp and Interdimensional Jumps,Codeforces,https://codeforces.com/problemset/problem/2253/D,1800,"binary search, brute force, geometry, greedy, implementation, math",O(n)
CF077,Permutation Construction,Codeforces,https://codeforces.com/problemset/problem/2222/D,1800,"data structure, sorting",O(nlog(n))
CF078,Problem about GCD,Codeforces,https://codeforces.com/problemset/problem/2043/D,1800,"brute force, math, number theory",O(log(n))
CF079,Bicycles,Codeforces,https://codeforces.com/problemset/problem/1915/G,1800,"graph, greedy, implementation, shortest path, sorting",O(n^2)
CF080,Ntarsis' Set,Codeforces,https://codeforces.com/problemset/problem/1852/A,1800,"binary search, math, number theory",O(n)
CF081,Excuse for Breaks,Codeforces,https://codeforces.com/problemset/problem/2248/E,1900,"binary search, brute force, greedy, math",O(n^2)
CF082,"Vessels, Heights and Two Versions (Hard Version)",Codeforces,https://codeforces.com/problemset/problem/2234/F,1900,"data structure, dfs, bfs, greedy, implementation",O(n)
CF083,Little String (Easy Version),Codeforces,https://codeforces.com/problemset/problem/2189/D1,1900,"combinatorics, dp, greedy, math, number theory",O(n)
CF084,Farmer John's Last Wish,Codeforces,https://codeforces.com/problemset/problem/2148/G,1900,"binary search, data structure, math, number theory",O(n(sqrt(n)))
CF085,Good Trip,Codeforces,https://codeforces.com/problemset/problem/1925/D,1900,"combinatorics, dp, math, probability",O(nlog(n))
CF086,RReeppeettiittiioonn,Codeforces,https://codeforces.com/problemset/problem/2215/B,2000,"binary search, brute force, implementation, math, number theory",O(1)
CF087,ICPC Square,Codeforces,https://codeforces.com/problemset/problem/2045/B,2000,"math, number theory",O(sqrt(n))
CF088,Palindrome Flipping,Codeforces,https://codeforces.com/problemset/problem/2158/D,2000,"brute force, graph, implementation, shortest path, string",O(n)
CF089,Orac and Game of Life,Codeforces,https://codeforces.com/problemset/problem/1349/C,2000,"dfs, bfs, graph, implementation, shortest path",O(n^2)
CF090,Rudolf and Subway,Codeforces,https://codeforces.com/problemset/problem/1941/G,2000,"dfs, bfs, graph, shortest path",O(n^2)
CF091,Buratsuta 3,Codeforces,https://codeforces.com/problemset/problem/2149/G,2100,"binary search, brute force, data structure, probability",O(nlog(n))
CF092,Control of Randomness,Codeforces,https://codeforces.com/problemset/problem/2040/E,2100,"combinatorics, dfs, bfs, dp, graph, greedy, math, probability",O(n^2)
CF093,Flexible String Revisit,Codeforces,https://codeforces.com/problemset/problem/1778/D,2100,"combinatorics, dp, math, probability",O(nlog(n))
CF094,Beautiful Mirrors,Codeforces,https://codeforces.com/problemset/problem/1265/E,2100,"data structure, dp, math, probability",O(n)
CF095,Guess Game,Codeforces,https://codeforces.com/problemset/problem/1864/E,2100,"data structure, games, math, probability, sorting, string",O(n^2)
CF096,Missing Separators,Codeforces,https://codeforces.com/problemset/problem/2045/H,2200,"dp, sorting, string",O(n^2)
CF097,Sofia and Strings,Codeforces,https://codeforces.com/problemset/problem/1898/E,2200,"data structure, greedy, sorting, string",O(n^2)
CF098,Kaavi and Magic Spell,Codeforces,https://codeforces.com/problemset/problem/1336/C,2200,"dp, string",O(n^2)
CF099,Three Religions,Codeforces,https://codeforces.com/problemset/problem/1149/B,2200,"dp, implementation, string",O(n)
CF100,Nightcrawler,Codeforces,https://codeforces.com/problemset/problem/2254/G,2200,"data structure, dfs, bfs, dp, greedy, sorting",O(nlog(n))
CF101,How Long Until Nothing Remains?,Codeforces,https://codeforces.com/problemset/problem/2255/D,2300,"binary search, data structure, greedy, math, sorting",O(nlog(n))
CF102,Permutation Transmission (Difficult Version),Codeforces,https://codeforces.com/problemset/problem/2233/E2,2300,"combinatorics, sorting",O(nlog(n))
CF103,Graph Cutting,Codeforces,https://codeforces.com/problemset/problem/2231/E,2300,"dfs, bfs, dp, math",O(n^2)
CF104,Mental Monumental (Hard Version),Codeforces,https://codeforces.com/problemset/problem/2226/E,2300,"data structure, greedy, math",O(nlog(n))
CF105,Idiot First Search and Queries,Codeforces,https://codeforces.com/problemset/problem/2195/G,2300,"binary search, data structure, dp, graph",O(nlog(n))
CF106,Summmon,Codeforces,https://codeforces.com/problemset/problem/2241/G,2400,"binary search, data structure, greedy, implementation, math, number theory",O(n)
CF107,Paint the Array,Codeforces,https://codeforces.com/problemset/problem/2237/F,2400,"data structure, dp, greedy",O(n)
CF108,Amanojaku and Sequence (Easy Version),Codeforces,https://codeforces.com/problemset/problem/2228/E1,2400,"combinatorics, math",O(n)
CF109,Learning Binary Search,Codeforces,https://codeforces.com/problemset/problem/2211/F,2400,"combinatorics, dp, math",O(n)
CF110,Left is Always Right,Codeforces,https://codeforces.com/problemset/problem/2161/E,2400,"combinatorics, implementation, math",O(n)
CF111,Matrix Elimination,Codeforces,https://codeforces.com/problemset/problem/2248/F,2500,"binary search, greedy, math",O(nlog(n))
CF112,Hunting the Beast,Codeforces,https://codeforces.com/problemset/problem/2239/D,2500,"combinatorics, dp, graph, math",O(n)
CF113,Amanojaku and Sequence (Hard Version),Codeforces,https://codeforces.com/problemset/problem/2228/E2,2500,"combinatorics, data structure, implementation, math",O(n)
CF114,Parallel Sums,Codeforces,https://codeforces.com/problemset/problem/2206/E,2500,"data structure, geometry",O(n)
CF115,Another Exercise on Graphs (hard version),Codeforces,https://codeforces.com/problemset/problem/2057/E2,2500,"binary search, dfs, dp, graph, shortest path, sorting",O(nlog(n))
CF116,Spruce Dispute,Codeforces,https://codeforces.com/problemset/problem/2108/E,2600,"dfs, bfs, graph, greedy, implementation, shortest path",O(nlog(n))
CF117,4-beauty,Codeforces,https://codeforces.com/problemset/problem/2253/F,2600,"dp, graph, math, number theory",O(1)
CF118,Infinite Work,Codeforces,https://codeforces.com/problemset/problem/2238/F,2600,"combinatorics, graph, greedy, math",O(n)
CF119,String Cutting,Codeforces,https://codeforces.com/problemset/problem/2225/F,2600,"binary search, brute force, greedy, data structure, string",O(nlog(n))
CF120,Greedy Grid Counting,Codeforces,https://codeforces.com/problemset/problem/2122/E,2600,"combinatorics, dp, greedy, math",O(n^2)
